,index,아이디,조사 시작시간,조사 종료시간,병원 코드,진료과 코드,의사 코드,병동 코드,NPS,VOC,label
0,0,R528cfda31b994d47902,2025-03-08 00:01:40,2025-03-08 00:03:25,34520929,001202,,,10,과잉진료가없다해서 지인소개로 방문했는데 진료만 잘해주시는게 아니라 의사분들 치위생선생님분들 다 너무 친절하셔서 불편함없이 잘 치료받았습니다 지인들소개해줄만 하다못해 재방문하게될거같아요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,1,R926245a8d2844149b8c,2025-03-08 00:02:17,2025-03-08 00:04:32,31574564,001201,940004,,10,강민지 원장님 친절하게 잘해주십니다 치과 무서웠는데 늘 조근조근 말씀해 주시고 입에 어떤 기구기 들어가고 어떤 치료중인지 늘 말씀해주세요 감사합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,4,R1134961825,2025-03-08 00:01:41,2025-03-08 00:07:32,34100016,0200,3410001602000002,,4,사전 주차 등록 키오스크 결제,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,4,R1134961825,2025-03-08 00:01:41,2025-03-08 00:07:32,34100016,0200,3410001602000002,,4,의사의 환자에 대한 태도 불친절 환자 상태를 면밀히 살펴보지 않고 향후 진료에 대한 이야기도 들을 수 없었음 예약에 대한 대기 시간 예약 시간에 대한 정확성,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,7,2025030611175865,2025-03-08 00:03:57,2025-03-08 00:08:01,31100881,0200,1729229738790423,172922913437,7,식단 메뉴 맛에 신경썼음좋겠다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,7,2025030611175865,2025-03-08 00:03:57,2025-03-08 00:08:01,31100881,0200,1729229738790423,172922913437,7,간호병동의 친절한 간호사와 조무사와 청결상태,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,9,R4fefae375b354f8fb43,2025-03-08 00:01:40,2025-03-08 00:11:27,34520902,001202,1330013,,10,처치후에 올수 있는 통증상황에 대한 안내와 대처방법등에 대한 자세한 안내를 더 해주시 길 발치및임플란트 처치후 마취가 깰태쯤에 통증이 아주 많이 심해서 힘들었습니다미리 대비해서 약복용 안내또는 주사처치를 해주시면 더 좋을것 같아요 ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,9,R4fefae375b354f8fb43,2025-03-08 00:01:40,2025-03-08 00:11:27,34520902,001202,1330013,,10,의사선생님이 매우 친절하심,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,10,Ra895c89835d7491eba4,2025-03-08 00:05:16,2025-03-08 00:12:40,31574564,001201,940006,,10,아직은 없습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,10,Ra895c89835d7491eba4,2025-03-08 00:05:16,2025-03-08 00:12:40,31574564,001201,940006,,10,물론 다른 선생님들도 매우 친절하시지만 특히 경원 원장님과 영주 실장님 동식선생님이 매우 친절하고 자세하게 치료해주십니다 제가 일땜에 자주 예약시간을 변경해서 많이 죄송해하고 있어요 일단 원장님은 잘 다독여주셔요 설명도 알아듣기 쉽게해주십니다 실장님은 제가 처음 간날부터 지금까지 보험청구부터 하나하나 세세하게 잘 알려주셔요 가끔 안계시고 다른 분이 오시면 영주실장님은 안오시나 하고 궁금할 정도랍니다 그리고 동식 선생님께는 몇번 치료를 받았는데 물론 다른분들도 친절하지만 뭐랄까 다른분들보다 뭔가 엄청 전문적으로 설명해주시고 토닥토닥을 많이해주셔서 좋아요 암튼 길게 적었지만 이 세분이 제일 기억에 남습니다 앞으로도 잘부탁드립니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,11,R1134778558,2025-03-08 00:03:37,2025-03-08 00:13:33,34100415,9904,3410041599040004,,10,상냥하고 친절하였읍니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,12,R00020250228215022992,2025-03-07 23:47:10,2025-03-08 00:14:57,31101267,0600,24501010041,,10,진료의뢰서를 지참하고 불안한 마음으로 병원을 방문하였으나 1층 외래협력센터에서 진철하고 스피디하게 병원 접수 및 안내를 도와주어 응급실에 가지 않고 바로 신경외과에서 ct촬영을 받을수 있었습니다 당일 예약없이 방문하였고 걷는것조차 힘든 상태에서 신경외과 교수님과 접수해주신 직원분 그리고 진료 예약자 할머니의 친절함에 힘입어 불안함 속에 진행되었던 진료 대기와 모든 프로세스가 안정감 있게 진행되었습니다 이중수교수님과 접수해주신 직원분의 환자를 대해주시는 태도와 워딩에서 따뜻함이 느껴졌습니다 그때는 잘 표현하지 못했지만 너무 감사하다고 다시 한번 전합니다 감사했습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,15,R8eb1bb56d655498abfa,2025-03-08 00:19:24,2025-03-08 00:23:59,31101267,,,,10,신경외과 진료중 ct촬영을 위해 영상의학과로 이동하여 대기중에 힘들어하는 저를 침대에 누워서 대가할수 있도록 챙겨주시고 따뜻한말과 함께 편안하게 대해주셨습니다 불안함과 지쳐있을때 보살핌을 받는 느낌이 들어서 감사했습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,16,R0202503060041018434,2025-03-08 00:16:00,2025-03-08 00:25:59,37100092,1300,3710009213000005,,9,수낲할때 수납창고에서하지않고 바로 기계에서 수납 하니 참 좋았어요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,17,R012025030616094732,2025-03-07 22:38:06,2025-03-08 00:32:54,32100035,0500,3210003505000010,321000350012,10,1간호통합 27병동에 입원하면서 비데가 없어서 힘들었어요 2간호통합 병실의 경우 머리를 감겨주시는데 누워서도 머리를 감을수 있는 전용 세면대와 의자가 있었으면 좋겠어요 거동이 힘들거나 링겔 맞고 구부리지 못하는 환자들에겐 꼭 필요해요 수술하고 물 닿으면 안되는 환자들은 일반 세면대에서 구부리고 머리를 감을수 없어요통합 병동 하나에 미용실에서 사용하는 누워서도 머리를 감겨줄수 있는 세면대와 젖히는 의자 세트 하나정도씩만 구비해도 조무사님들이나 간호사님들이 머리 감겨주실때도 편하실거 같아요 목 수술후 10일동안 머리 못감은 1인이 접니다 꼭 필요해요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,17,R012025030616094732,2025-03-07 22:38:06,2025-03-08 00:32:54,32100035,0500,3210003505000010,321000350012,10,27병동 간호사 선생님들이 친절하세요 그리고 서준오 교수님께서 너무 멋있으세요 환자를 먼저 생각하시는 그 마음이 너무 예쁘고 멋있으세요 퇴원날 소독해주시는 선생님이 수술방에 들어가셔서 연락이 안되어 소독도 못하고 몇시간째 퇴원을 못하는 상황이였어요 서준오 교수님께서 복도에서 우연히 저희 남편과 마주치시곤 그냥 지나치지않고 바로 달려오셔서 퇴원하셔야죠 하시면서 직접 소독을 해주시고 수술부위 관리등을 친절히 말씀해주시고 홀연히 떠나셨습니다 수술후 바로 항암 시작해야해서 감염 걱정되어서 협진진행 해주셔서 안심도 되었구요 아무리 생각해도 의사로서도 인간적으로도 너무 멋있는 서준오 교수님 친근감있고 친절하면서도 환자와 소통도 잘하시고 수술실력도 뛰어나신 어디 하나 부족함 없는 우리 서준오 교수님 최고예요 이런 교수님께 수술받고 치료받는게 저는 순간순간이 감동입니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,19,R0002025030411534354,2025-03-08 00:33:22,2025-03-08 00:42:12,31100511,1300,3110051113000005,311005110009,10,주치의께서 매우 전문적이고 친절하셨다 전공의 없이 혼자 진료 수술 수술동의서 받는거수술 후 회진 퇴원전 진찰 설명 등등 많은 업무와 고생을 하시는거 같았다 간호사 특히 병동 간호사들은 정말 부지런하고 친절했다 지역사회에 분당차병원이 있다는 것이 자랑스럽다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,20,R0002025106054380307,2025-03-08 00:29:47,2025-03-08 00:44:03,11101270,0101,1110127001010015,111012700002,10,환자가 직접 차를 갖고와서 급하게 입원하게 될경우 차를 뺄수있는 조건이 되지 않았을때 퇴원할때 주차비 계산이 과하다는 생각이 들었습니다 경우의 수를 넓혀주면 좋겠습니다 제가 갑작스럽게 입원과정에서 겪은 병원의 친절함과 교수님의 세심한 진료 설명과 치료 간호사께 질문시 친절한 설명에 진심 감사드립니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,21,R7da688b3ece546b089e,2025-03-08 00:42:07,2025-03-08 00:47:45,34520929,001202,,,10,현재로는 만족임프란트가 치료가 잘돼서 사용하는데 불편하지않길바랍니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
