no,VOC,pred,pred_수정
18,"아이가 뇌진탕으로 급히 집 근처 응급실로 방문했다가 진료거부를 당하고 경북대소아응급실로 찾아가는 내내 정말 티비에서 보던 일을 내가 겪나 싶어서 너무나 두렵고 절망적이었는데
경북대학 병원에서 진료를 받을수 있었고.오래 기다리지않고 금방 진료를받고 검사를하고 결과를 들었습니다
발빠르게 대처해주셔서 그저 감사하고 또 감사할 따름이었습니다
요즘처럼 열악하고 힘든 처우와 환경 속에서도
잘 진료 해주셔서 매우 감사하고 만족합니다
",['진료경험(진료/투약/검사/회진)_긍정'],
20,"아침 일찍 가는데도 접수할때 대기시간이 길어요
그렇게 접수를 하고 채혈실로가면 채혈실에 접수받는분이 웃으시면서 친절히 안내해 주시니 기분이 좋아집니다
그분 성함은 모르겠지만 제가 3년째 다니고 있는데 한결같이 친절하십니다 그분께 감사하다고 전해주세요^^","['대기시간_부정','직원_긍정']",
26,집에서 가깝다 친절한 간호사가 있었다,['간호사_긍정'],
28,사랑니 뽑을 때 빨라서 좋았음,['병원시스템_긍정'],
30,의사선생님께서 친절하시게 대해주시고 간호사님들도  친절하여 차병원이 신뢰가 되며  믿음이  갑니다  ,"['의사_긍정','간호사_긍정']",
36,병원이 깨끗하고 시설이 좋으며 의사선생님도 간호사분들도 친절하셨습니다,"['의사_긍정','시설/환경_긍정','간호사_긍정']",
44,좋음,['시설/환경_긍정'],['진료경험(진료/투약/검사/회진)_긍정']
49,"전반적으로 서비스의 질 개선을 위해 노력하는 흔적이
보이나 주차장이 두곳으로 나뉘어  있고 하절비 주차시
태양광을 직접  피할수 있도록 개선이 필요하고
휴일 응급실 주사실에 근무하는 간호사를 더 충원하여
서비스의 질을 높였으면한다","['병원시스템_부정','주차_부정']",
51,"모든 분들이 다 친절학셨구요.
특히 원장님께서 직접 치료와 설명해주셔서 이해하는데 많은 도움이 되었습니다.

정말 좋은 선생님 만난게 행운이에요.

우연히 치과이름이 맘에 들어 인터넷으로 찾았어요.  
비오는날 직원분이 마중까지 나와주시고 먼데서 왔다며 선물까지 챙겨주셨어요.

정말 자랑하고 싶은 치과입니더.","['의사_긍정','직원_긍정']",
55,새로지은거라 깨끗하고 직원들이 친절하셨음,"['시설/환경_긍정','직원_긍정']",
63,주차장개선,['주차_부정'],
